DATUM,CDU/CSU,SPD,GRÃœNE,FDP,LINKE,AFD,SONSTIGE,BEFRAGTE,BUNDESTAGSWAHL,INSTITUT
2013-09-22,41.5,25.7,8.4,4.8,8.6,4.7,6.2,,True,YOUGOV
2017-05-05,35.0,28.0,7.0,7.0,9.0,9.0,5.0,1957.0,False,YOUGOV
2017-05-12,37.0,25.0,7.0,9.0,8.0,9.0,5.0,2010.0,False,YOUGOV
2017-05-19,38.0,25.0,7.0,9.0,9.0,9.0,3.0,2000.0,False,YOUGOV
2017-06-02,37.0,23.0,8.0,9.0,10.0,9.0,4.0,2040.0,False,YOUGOV
2017-06-23,36.0,25.0,8.0,9.0,10.0,7.0,5.0,1523.0,False,YOUGOV
2017-06-29,38.0,25.0,8.0,8.0,9.0,8.0,4.0,2000.0,False,YOUGOV
2017-07-12,38.0,24.0,8.0,9.0,9.0,8.0,4.0,1535.0,False,YOUGOV
2017-07-27,38.0,25.0,7.0,9.0,9.0,8.0,4.0,2000.0,False,YOUGOV
2017-08-03,37.0,25.0,7.0,9.0,9.0,8.0,5.0,2000.0,False,YOUGOV
2017-08-10,38.0,24.0,6.0,9.0,9.0,9.0,5.0,1513.0,False,YOUGOV
2017-08-16,37.0,25.0,7.0,9.0,9.0,9.0,4.0,1538.0,False,YOUGOV
2017-08-24,37.0,25.0,7.0,8.0,9.0,9.0,5.0,1520.0,False,YOUGOV
2017-08-30,36.0,25.0,7.0,7.0,10.0,10.0,5.0,1557.0,False,YOUGOV
2017-09-06,34.0,24.0,7.0,9.0,9.0,11.0,6.0,1617.0,False,YOUGOV
2017-09-13,36.0,23.0,8.0,9.0,10.0,10.0,4.0,1600.0,False,YOUGOV
2017-09-21,36.0,23.0,7.0,9.0,10.0,10.0,5.0,1862.0,False,YOUGOV
2017-09-24,32.9,20.5,8.9,10.7,9.2,12.6,5.0,,True,YOUGOV
2017-11-29,32.0,21.0,10.0,9.0,10.0,13.0,5.0,1570.0,False,YOUGOV
2017-12-28,33.0,21.0,10.0,9.0,10.0,13.0,4.0,1489.0,False,YOUGOV
2018-01-25,34.0,19.0,10.0,8.0,11.0,14.0,4.0,1566.0,False,YOUGOV
2018-02-28,32.0,16.0,12.0,8.0,12.0,16.0,4.0,1585.0,False,YOUGOV
2018-03-28,34.0,17.0,11.0,8.0,11.0,15.0,4.0,1579.0,False,YOUGOV
2018-04-25,32.0,18.0,12.0,9.0,10.0,15.0,4.0,1573.0,False,YOUGOV
2018-05-30,33.0,17.0,11.0,9.0,11.0,16.0,3.0,1556.0,False,YOUGOV
2018-06-27,30.0,17.0,12.0,10.0,11.0,16.0,4.0,1525.0,False,YOUGOV
2018-07-25,30.0,17.0,12.0,9.0,11.0,17.0,4.0,1520.0,False,YOUGOV
2018-08-30,28.0,17.0,13.0,9.0,11.0,17.0,5.0,1538.0,False,YOUGOV
2018-09-27,27.0,17.0,14.0,9.0,11.0,18.0,4.0,1504.0,False,YOUGOV
2018-11-07,25.0,14.0,21.0,10.0,10.0,16.0,4.0,1542.0,False,YOUGOV
2018-11-28,27.0,15.0,21.0,9.0,10.0,14.0,4.0,1580.0,False,YOUGOV
2018-12-28,30.0,16.0,18.0,8.0,10.0,14.0,4.0,1665.0,False,YOUGOV
2019-01-31,32.0,15.0,18.0,8.0,9.0,14.0,4.0,1578.0,False,YOUGOV
2019-02-27,30.0,18.0,17.0,9.0,9.0,13.0,4.0,1620.0,False,YOUGOV
2019-03-28,30.0,18.0,17.0,9.0,9.0,12.0,5.0,1633.0,False,YOUGOV
2019-05-03,29.0,18.0,17.0,9.0,9.0,13.0,5.0,1642.0,False,YOUGOV
2019-05-23,29.0,18.0,18.0,8.0,9.0,12.0,6.0,1609.0,False,YOUGOV
2019-07-03,26.0,13.0,25.0,7.0,8.0,13.0,8.0,1644.0,False,YOUGOV
2019-07-31,26.0,13.0,24.0,8.0,8.0,14.0,7.0,1594.0,False,YOUGOV
2019-09-11,27.0,15.0,22.0,6.0,8.0,14.0,8.0,1632.0,False,YOUGOV
2019-10-03,26.0,13.0,22.0,8.0,8.0,15.0,8.0,1573.0,False,YOUGOV
2019-11-06,27.0,13.0,22.0,7.0,10.0,14.0,7.0,1583.0,False,YOUGOV
2019-11-27,26.0,13.0,22.0,7.0,10.0,15.0,7.0,1648.0,False,YOUGOV
2019-12-18,27.0,13.0,21.0,7.0,10.0,15.0,7.0,1586.0,False,YOUGOV
2020-03-06,27.0,15.0,21.0,6.0,10.0,14.0,7.0,1632.0,False,YOUGOV
2020-04-03,34.0,16.0,18.0,6.0,9.0,12.0,5.0,1615.0,False,YOUGOV
2020-04-30,37.0,16.0,16.0,5.0,9.0,11.0,6.0,1636.0,False,YOUGOV
2020-05-28,37.0,15.0,16.0,5.0,9.0,11.0,7.0,1584.0,False,YOUGOV
2020-06-26,37.0,15.0,17.0,5.0,9.0,11.0,6.0,1636.0,False,YOUGOV
2020-08-06,36.0,14.0,18.0,6.0,9.0,11.0,6.0,1623.0,False,YOUGOV
2020-08-28,36.0,16.0,18.0,5.0,8.0,11.0,6.0,1611.0,False,YOUGOV
2020-09-25,35.0,15.0,18.0,5.0,9.0,12.0,6.0,1623.0,False,YOUGOV
2020-10-30,35.0,15.0,18.0,6.0,9.0,12.0,5.0,1656.0,False,YOUGOV
2020-11-26,37.0,15.0,18.0,6.0,9.0,10.0,5.0,1632.0,False,YOUGOV
2021-01-06,36.0,15.0,18.0,6.0,9.0,10.0,6.0,1588.0,False,YOUGOV
2021-02-04,36.0,15.0,18.0,7.0,9.0,10.0,5.0,1606.0,False,YOUGOV
2021-02-26,33.0,16.0,18.0,8.0,8.0,11.0,6.0,1619.0,False,YOUGOV
2021-04-01,27.0,17.0,21.0,10.0,8.0,11.0,6.0,1637.0,False,YOUGOV
